1,"Смартфон Samsung Galaxy S24 Ultra 128GB",Электроника,http://localhost:3000/product/1
2,"Смартфон Samsung Galaxy S24+ 256GB",Электроника,http://localhost:3000/product/2
3,"Смартфон Samsung Galaxy S24 512GB",Электроника,http://localhost:3000/product/3
4,"Смартфон Samsung Galaxy Z Fold 5 1TB",Электроника,http://localhost:3000/product/4
5,"Смартфон Samsung Galaxy Z Flip 5 64GB",Электроника,http://localhost:3000/product/5
6,"Смартфон Apple iPhone 15 Pro Max 128GB",Электроника,http://localhost:3000/product/6
7,"Смартфон Apple iPhone 15 Pro 256GB",Электроника,http://localhost:3000/product/7
8,"Смартфон Apple iPhone 15 Plus 512GB",Электроника,http://localhost:3000/product/8
9,"Смартфон Apple iPhone 15 1TB",Электроника,http://localhost:3000/product/9
10,"Смартфон Apple iPhone 14 Pro 64GB",Электроника,http://localhost:3000/product/10
11,"Смартфон Xiaomi 14 Ultra 128GB",Электроника,http://localhost:3000/product/11
12,"Смартфон Xiaomi 14 Pro 256GB",Электроника,http://localhost:3000/product/12
13,"Смартфон Xiaomi 14 512GB",Электроника,http://localhost:3000/product/13
14,"Смартфон Xiaomi 13T Pro 1TB",Электроника,http://localhost:3000/product/14
15,"Смартфон Xiaomi 13T 64GB",Электроника,http://localhost:3000/product/15
16,"Смартфон OPPO Find X7 Pro 128GB",Электроника,http://localhost:3000/product/16
17,"Смартфон OPPO Find X7 256GB",Электроника,http://localhost:3000/product/17
18,"Смартфон OPPO Reno 11 Pro 512GB",Электроника,http://localhost:3000/product/18
19,"Смартфон OPPO Reno 11 1TB",Электроника,http://localhost:3000/product/19
20,"Смартфон OPPO A79 64GB",Электроника,http://localhost:3000/product/20
21,"Смартфон Realme GT 5 Pro 128GB",Электроника,http://localhost:3000/product/21
22,"Смартфон Realme GT 5 256GB",Электроника,http://localhost:3000/product/22
23,"Смартфон Realme 12 Pro+ 512GB",Электроника,http://localhost:3000/product/23
24,"Смартфон Realme 12 Pro 1TB",Электроника,http://localhost:3000/product/24
25,"Смартфон Realme 12 64GB",Электроника,http://localhost:3000/product/25
26,"Смартфон OnePlus 12 Pro 128GB",Электроника,http://localhost:3000/product/26
27,"Смартфон OnePlus 12 256GB",Электроника,http://localhost:3000/product/27
28,"Смартфон OnePlus 11T 512GB",Электроника,http://localhost:3000/product/28
29,"Смартфон OnePlus 11 1TB",Электроника,http://localhost:3000/product/29
30,"Смартфон OnePlus Nord 3 64GB",Электроника,http://localhost:3000/product/30
31,"Смартфон Google Pixel 8 Pro 128GB",Электроника,http://localhost:3000/product/31
32,"Смартфон Google Pixel 8 256GB",Электроника,http://localhost:3000/product/32
33,"Смартфон Google Pixel 7a 512GB",Электроника,http://localhost:3000/product/33
34,"Смартфон Google Pixel 7 Pro 1TB",Электроника,http://localhost:3000/product/34
35,"Смартфон Google Pixel 7 64GB",Электроника,http://localhost:3000/product/35
36,"Смартфон Motorola Edge 40 Pro 128GB",Электроника,http://localhost:3000/product/36
37,"Смартфон Motorola Edge 40 256GB",Электроника,http://localhost:3000/product/37
